Age,Gender,Education Level,Job Title,Years of Experience,Salary
43,Male,PhD,Responsable RH,16.0,63600
32,Male,CAP/BEP,Responsable Commercial,8.5,35900
28,Male,Bachelor's,Assistant Administratif,5.5,19100
61,Male,Bachelor's,Responsable Marketing,32.3,46300
32,Female,PhD,Data Analyst,3.3,28800
35,Female,Baccalauréat,Contrôleur de Gestion,13.7,32800
44,Male,Bachelor's,Analyste Financier,17.4,40700
27,Female,PhD,Architecte Cloud,0.0,51700
31,Male,PhD,Data Analyst,3.4,48600
36,Male,Bachelor's,Account Manager,8.7,41500
28,Female,Baccalauréat,Ingénieur Systèmes,4.6,33900
46,Female,Baccalauréat,Office Manager,25.1,32700
38,Male,Master's,Analyste Financier,9.8,66400
30,Male,Master's,Chef de Projet IT,6.2,41600
46,Female,Master's,Technicien de Maintenance,18.2,41700
35,Male,Master's,Enseignant,7.7,32500
25,Male,Master's,Data Scientist,1.2,51200
29,Female,Master's,DevOps Engineer,6.0,30500
38,Male,Baccalauréat,Consultant IT,20.0,53300
41,Male,Bachelor's,Chef de Projet IT,14.4,63400
50,Female,Master's,Chef de Projet IT,11.1,39500
53,Male,Bachelor's,Infirmier,29.2,29600
29,Female,Bachelor's,Juriste,8.0,30900
34,Female,PhD,Data Engineer,5.9,51900
40,Male,Bachelor's,Analyste Financier,16.9,66000
43,Male,PhD,Enseignant,15.8,39600
54,Female,Bachelor's,Data Scientist,27.2,60800
44,Female,Master's,Chef de Projet IT,21.0,71200
29,Female,Master's,Data Engineer,3.2,48300
62,Male,Master's,Juriste,28.9,76600
28,Female,CAP/BEP,Consultant IT,8.3,29900
33,Male,Master's,Logisticien,8.9,30800
39,Female,Master's,Développeur Software,12.9,43500
47,Female,Baccalauréat,Conducteur de Projet,21.2,42400
42,Female,Master's,Responsable RH,15.8,47100
49,Female,Master's,Contrôleur de Gestion,24.4,53900
33,Male,Bachelor's,Responsable RH,8.9,27500
29,Male,Baccalauréat,Directeur Financier,7.1,53700
38,Female,Baccalauréat,Consultant Finance,11.5,52700
47,Male,Bachelor's,Logisticien,15.1,26000
42,Male,PhD,Data Scientist,13.7,61400
46,Male,Master's,Chef de Projet IT,23.0,108300
49,Male,Baccalauréat,Assistant Administratif,17.5,27500
