iter	RMSE
0	15736.49091
1	15325.33468
2	14969.05511
3	14601.67141
4	14261.33243
5	13941.01512
6	13640.79577
7	13336.43958
8	13057.66838
9	12812.58914
10	12557.99022
11	12349.48106
12	12120.77618
13	11921.4705
14	11723.19061
15	11546.46391
16	11373.3248
17	11214.6897
18	11052.9942
19	10909.67429
20	10782.69505
21	10652.90562
22	10551.97932
23	10453.68438
24	10343.67394
25	10253.04481
26	10169.6679
27	10088.84829
28	10009.29145
29	9937.35893
30	9873.125414
31	9801.970552
32	9730.766949
33	9668.81925
34	9607.752903
35	9564.712164
36	9512.406248
37	9466.349384
38	9421.08345
39	9379.370004
40	9335.046781
41	9299.940434
42	9255.209749
43	9215.894324
44	9186.846219
45	9153.499945
46	9115.378406
47	9085.205504
48	9060.892035
49	9037.816639
50	9016.318999
51	8988.429868
52	8966.007689
53	8940.039451
54	8918.030284
55	8902.098118
56	8881.852549
57	8862.508878
58	8840.848166
59	8823.008717
60	8807.416858
61	8794.766719
62	8781.401431
63	8764.054831
64	8749.774768
65	8740.264337
66	8730.663948
67	8725.314651
68	8708.284808
69	8700.104461
70	8688.524452
71	8679.288922
72	8669.089691
73	8660.882818
74	8648.401627
75	8640.103636
76	8630.829402
77	8621.931603
78	8613.330274
79	8606.073825
80	8597.370401
81	8591.784098
82	8584.050701
83	8578.83702
84	8572.494037
85	8565.439904
86	8558.257387
87	8553.509261
88	8550.735009
89	8544.435907
90	8537.816604
91	8533.166224
92	8527.567602
93	8521.170234
94	8514.802351
95	8512.00836
96	8507.054242
97	8499.969366
98	8494.615487
99	8488.629477
100	8482.1037
101	8477.336475
102	8471.031917
103	8466.249157
104	8463.427969
105	8459.33537
106	8452.729476
107	8448.443604
108	8441.709247
109	8434.066719
110	8427.239526
111	8424.721796
112	8421.889658
113	8418.150423
114	8412.173882
115	8407.062787
116	8403.691689
117	8399.800053
118	8394.665195
119	8387.507659
120	8383.455468
121	8381.250984
122	8378.643851
123	8375.77852
124	8369.019613
125	8365.434271
126	8362.440117
127	8359.216503
128	8355.023271
129	8353.043401
130	8348.619574
131	8345.155177
132	8343.678809
133	8342.310669
134	8338.274455
135	8333.15735
136	8329.271898
137	8325.029179
138	8322.004925
139	8316.073321
140	8311.732008
141	8309.046306
142	8305.488925
143	8301.989163
144	8297.096617
145	8295.288726
146	8288.761017
147	8283.328141
148	8278.704536
149	8275.88839
150	8270.000131
151	8264.140997
152	8256.99636
153	8253.53675
154	8252.489661
155	8247.14311
156	8242.950737
157	8236.597935
158	8231.730895
159	8228.390731
160	8224.440413
161	8220.401102
162	8215.829273
163	8210.942823
164	8206.92111
165	8201.222576
166	8195.867629
167	8193.029471
168	8189.085712
169	8184.768996
170	8180.836587
171	8176.945883
172	8171.501128
173	8167.782353
174	8165.539058
175	8160.822836
176	8156.195573
177	8148.402994
178	8144.512319
179	8140.872278
180	8136.280774
181	8126.330679
182	8122.440274
183	8117.179746
184	8112.235769
185	8107.870912
186	8103.407646
187	8100.102132
188	8095.872507
189	8092.683099
190	8088.55614
191	8083.415755
192	8077.371757
193	8071.115596
194	8069.242164
195	8063.869317
196	8062.021114
197	8056.248825
198	8050.287774
199	8044.885563
200	8039.81963
201	8034.783419
202	8027.190367
203	8023.668824
204	8020.965629
205	8017.039106
206	8012.497088
207	8008.995906
208	8005.178136
209	8001.45214
210	7996.554546
211	7992.445236
212	7990.381899
213	7987.163826
214	7982.012406
215	7976.960669
216	7971.591469
217	7965.501799
218	7961.480301
219	7957.300454
220	7954.580304
221	7953.384474
222	7951.832375
223	7950.557829
224	7947.564919
225	7941.777966
226	7937.010582
227	7934.827769
228	7932.243595
229	7926.473007
230	7923.535788
231	7919.573806
232	7916.547322
233	7914.364981
234	7908.215679
235	7903.691369
236	7900.359629
237	7896.126937
238	7890.907955
239	7887.22316
240	7884.436776
241	7880.395491
242	7876.320624
243	7872.209303
244	7869.514246
245	7866.964774
246	7863.667339
247	7860.068321
248	7855.313538
249	7851.338237
250	7847.136793
251	7842.437574
252	7838.334926
253	7833.588587
254	7832.4977
255	7826.532353
256	7823.417709
257	7817.522285
258	7812.952494
259	7809.256869
260	7807.136839
261	7802.120244
262	7798.602686
263	7793.034246
264	7790.680383
265	7787.303025
266	7784.488907
267	7781.80947
268	7780.801961
269	7776.053691
270	7773.747903
271	7771.822834
272	7770.876628
273	7766.330419
274	7763.969403
275	7758.110965
276	7753.234144
277	7750.215882
278	7747.491918
279	7744.105034
280	7741.544596
281	7737.926144
282	7736.633711
283	7732.900042
284	7729.518437
285	7725.213556
286	7722.008035
287	7721.025244
288	7717.117128
289	7712.985747
290	7708.036901
291	7705.749416
292	7703.030935
293	7698.609793
294	7696.110895
295	7690.898942
296	7687.295323
297	7686.46868
298	7678.925203
299	7677.038858
