iter	Passed	Remaining
0	1	348
1	2	309
2	2	295
3	3	287
4	4	279
5	5	275
6	6	272
7	7	270
8	8	266
9	9	264
10	10	263
11	11	271
12	12	277
13	13	277
14	14	275
15	15	274
16	16	272
17	17	270
18	18	268
19	19	266
20	19	263
21	20	262
22	21	260
23	22	259
24	23	257
25	24	256
26	25	254
27	26	253
28	27	253
29	28	253
30	29	252
31	30	251
32	30	250
33	31	249
34	32	248
35	33	245
36	34	244
37	35	243
38	36	242
39	37	241
40	38	240
41	38	238
42	39	237
43	40	236
44	41	235
45	42	236
46	43	236
47	44	235
48	45	235
49	46	234
50	47	233
51	48	232
52	49	231
53	50	230
54	51	229
55	52	228
56	53	228
57	54	227
58	55	226
59	56	225
60	57	224
61	58	224
62	59	224
63	60	223
64	61	223
65	62	222
66	63	221
67	64	219
68	65	218
69	66	217
70	67	216
71	68	215
72	69	214
73	70	213
74	70	212
75	71	211
76	72	210
77	74	210
78	75	210
79	76	209
80	77	209
81	78	208
82	79	207
83	80	206
84	81	205
85	82	204
86	83	203
87	84	202
88	84	201
89	85	200
90	86	199
91	87	198
92	88	197
93	89	197
94	90	196
95	91	194
96	92	194
97	93	193
98	94	192
99	95	191
100	96	190
101	97	189
102	98	188
103	99	187
104	100	186
105	101	185
106	102	184
107	103	183
108	104	182
109	105	182
110	106	181
111	107	180
112	108	179
113	109	178
114	110	177
115	111	176
116	112	175
117	113	174
118	114	173
119	115	173
120	116	172
121	117	171
122	118	170
123	119	169
124	120	168
125	121	167
126	122	166
127	123	165
128	124	164
129	125	163
130	126	162
131	127	161
132	127	160
133	128	159
134	129	158
135	130	157
136	131	156
137	132	155
138	133	154
139	134	153
140	135	153
141	137	152
142	138	151
143	139	150
144	140	150
145	141	149
146	142	148
147	143	147
148	144	146
149	145	145
150	145	144
151	146	143
152	147	142
153	148	141
154	149	139
155	150	138
156	151	137
157	152	137
158	153	136
159	154	135
160	155	134
161	156	133
162	157	132
163	158	131
164	159	130
165	160	129
166	161	128
167	162	127
168	163	126
169	164	125
170	165	124
171	166	123
172	167	122
173	168	122
174	169	121
175	170	120
176	171	119
177	172	118
178	173	117
179	174	116
180	175	115
181	176	114
182	177	113
183	178	112
184	179	111
185	180	110
186	181	109
187	182	108
188	184	108
189	185	107
190	186	106
191	187	105
192	188	104
193	188	103
194	189	102
195	190	101
196	191	100
197	192	99
198	193	98
199	194	97
200	195	96
201	196	95
202	197	94
203	198	93
204	199	92
205	200	91
206	201	90
207	202	89
208	203	88
209	204	87
210	205	86
211	206	85
212	207	84
213	208	83
214	209	82
215	210	81
216	211	80
217	212	79
218	213	78
219	214	78
220	215	77
221	216	76
222	217	75
223	218	74
224	219	73
225	220	72
226	221	71
227	222	70
228	222	69
229	223	68
230	224	67
231	225	66
232	226	65
233	227	64
234	228	63
235	229	62
236	231	61
237	232	60
238	233	59
239	233	58
240	234	57
241	235	56
242	236	55
243	237	54
244	238	53
245	239	52
246	240	51
247	241	50
248	242	49
249	243	48
250	244	47
251	245	46
252	246	45
253	248	44
254	249	43
255	250	42
256	251	42
257	252	41
258	253	40
259	253	39
260	254	38
261	255	37
262	256	36
263	257	35
264	258	34
265	259	33
266	261	32
267	262	31
268	263	30
269	264	29
270	265	28
271	266	27
272	267	26
273	268	25
274	269	24
275	270	23
276	271	22
277	272	21
278	272	20
279	273	19
280	274	18
281	276	17
282	277	16
283	278	15
284	279	14
285	280	13
286	281	12
287	282	11
288	283	10
289	284	9
290	284	8
291	285	7
292	286	6
293	287	5
294	288	4
295	289	3
296	291	2
297	292	1
298	293	0
299	294	0
